frame,leg,theta1_deg,theta2_deg,theta3_deg,d_theta1_deg,d_theta2_deg,residual_deg,residual_steps,foot_x_mm,foot_y_mm,foot_z_mm,signed_reach_mm,status
G0372,L2,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0372,L3,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0373,R1,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0373,R2,13.5000,27.0000,94.5000,9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,11.5012,-129.7131,49.2673,IK_OK
G0373,R3,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0373,L1,-13.5000,27.0000,94.5000,-9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,-11.5012,-129.7131,49.2673,IK_OK
G0373,L2,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0373,L3,-13.5000,27.0000,94.5000,-9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,-11.5012,-129.7131,49.2673,IK_OK
G0374,R1,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0374,R2,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0374,R3,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0374,L1,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0374,L2,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0374,L3,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0375,R1,13.5000,27.0000,94.5000,9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,11.5012,-129.7131,49.2673,IK_OK
G0375,R2,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0375,R3,13.5000,27.0000,94.5000,9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,11.5012,-129.7131,49.2673,IK_OK
G0375,L1,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0375,L2,-13.5000,27.0000,94.5000,-9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,-11.5012,-129.7131,49.2673,IK_OK
G0375,L3,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0376,R1,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0376,R2,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0376,R3,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0376,L1,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0376,L2,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0376,L3,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0377,R1,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0377,R2,13.5000,27.0000,94.5000,9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,11.5012,-129.7131,49.2673,IK_OK
G0377,R3,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0377,L1,-13.5000,27.0000,94.5000,-9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,-11.5012,-129.7131,49.2673,IK_OK
G0377,L2,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0377,L3,-13.5000,27.0000,94.5000,-9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,-11.5012,-129.7131,49.2673,IK_OK
G0378,R1,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0378,R2,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0378,R3,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0378,L1,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0378,L2,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0378,L3,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0379,R1,13.5000,27.0000,94.5000,9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,11.5012,-129.7131,49.2673,IK_OK
G0379,R2,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0379,R3,13.5000,27.0000,94.5000,9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,11.5012,-129.7131,49.2673,IK_OK
G0379,L1,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0379,L2,-13.5000,27.0000,94.5000,-9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,-11.5012,-129.7131,49.2673,IK_OK
G0379,L3,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0380,R1,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0380,R2,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0380,R3,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0380,L1,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0380,L2,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0380,L3,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0381,R1,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
